# Pluribus pin annotation file — Hantek 2D82AUTO / LCMXO2-1200HC-4TG100C TQFP100
#
# DEVICE METADATA — parsed by load.py
# device:   LCMXO2-1200
# package:  TQFP100
#
# Generated by: load.py --dump-pins
# Source: bitstream iomap (coordinates) + pin_annotations.json (names)
#
# COLUMN FORMAT
# pin  row  col  pio  dir  label  function  confidence  chip_ref  chip_pin  chip_signal  net_in  net_out  note
# confidence: 3=guess  5=estimate  8=inferred  10=confirmed
#
1	2	0	C	in	XTAL_IN	L_GPLLT_IN — PLL reference input from 25 MHz crystal	10	XTAL1		XI			L_GPLLT_IN — PLL reference input from 25 MHz crystal
2	2	0	D	out	XTAL_FB	L_GPLLC_IN — PLL feedback / crystal XO pin	10	XTAL1		XO		n2017	L_GPLLC_IN — PLL feedback / crystal XO pin
3	3	0	A	out	pin3		3					n2182	
4	3	0	B	out	pin4		3					n2770	
8	3	0	D	out	U7_DS?	likely DS/SER (data) — separate tile R3C0:PIOD from 9/10. U7 QA-QH control CH2 A	8	U7	14	DS		n2771	likely DS/SER (data) — separate tile R3C0:PIOD from 9/10. U7 QA-QH control CH2 AFE: range/coupling/attenuator relays. Not daisy-chained from U1.
9	4	0	A	out	U7_SHCP?	likely shift clock SHCP — pairing with 10 as clock pair. Exact order not net-tra	8	U7	11	SHCP		n1524	likely shift clock SHCP — pairing with 10 as clock pair. Exact order not net-traced.
10	4	0	B	out	U7_STCP?	likely latch clock STCP — pairing with 9. Exact order not net-traced.	8	U7	12	STCP		n2773	likely latch clock STCP — pairing with 9. Exact order not net-traced.
27	12	3	C	in	FPGA_nCS	CSSPIN — FPGA slave-SPI chip-select from STM32. CIB arc bug (#57) blocks fabric 	8	STM32	?	SPI1_NSS	n2518		CSSPIN — FPGA slave-SPI chip-select from STM32. Fully connected in the native decode (~1747 nets, 11 output pads); the earlier "#57 blocks fabric trace" note is superseded. See fpga/docs/v07-fabric-datapath.md §5.
31	12	5	C	bidir	FPGA_CCLK	MCLK/CCLK — SPI clock	8	STM32	?	SPI1_SCK			MCLK/CCLK — SPI clock
32	12	5	D	bidir	FPGA_MISO	SO/SPISO — FPGA → STM32 SPI data out	8	STM32	?	SPI1_MISO			SO/SPISO — FPGA → STM32 SPI data out
35	12	8	B	out	DAC_PD	user-traced: FPGA35 = start of DAC bus. BIDIR_LVTTL33 matches PD control (active	8	U12	15	PD		n2508	user-traced: FPGA35 = start of DAC bus. BIDIR_LVTTL33 matches PD control (active-H, int. pull-down on DAC). One of the two DAC control pins (35=PD, 54=CLK).
36	12	10	C	out	DAC_D0	flat routing: FPGA36→U12 pin12=D0 (LSB). Data bus starts here after PD control a	8	U12	12	D0		n2501	flat routing: FPGA36→U12 pin12=D0 (LSB). Data bus starts here after PD control at 35.
